,bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
615,3865,Beleuchtung > Straßenlaternen defekt,"47.6716545919342, 9.16307274252176",Stadtwerke Konstanz,Gelöst,05.09.2020,"Reichenaustraße 37, 78467 Konstanz, Germany                    ",Fahrbahnbeleuchtung defekt,
652,3902,Beleuchtung > Straßenlaternen defekt,"47.6703447160448, 9.18634667715743",Stadtwerke Konstanz,Gelöst,10.09.2020,"Mainaustraße 31, 78464 Konstanz, Germany                    ",Laterne defekt,
663,3913,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6875192508453, 9.14501973992421",Technische Betriebe,Gelöst,12.09.2020,"Mannheimer Str. 34, 78467 Konstanz, Germany                    ","Schildermast (Hinweis auf Spielplatz) mit ""Fundament"" liegt auf der Wiese zwischen Klettergerüst und Weg ""Grüner Bogen"".",
685,3935,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6684386579836, 9.16414428502321",Technische Betriebe,Gelöst,20.09.2020,"Rheingutstraße 40, 78462 Konstanz, Germany                    ","Die Drehscheibe auf dem Spielplatz schafft keine volle Umdrehung, bleibt an einer Stelle hängen",
698,3948,Beleuchtung > Straßenlaternen defekt,"47.6568653, 9.173882",Stadtwerke Konstanz,Gelöst,21.09.2020,"Hüetlinstraße 21A, 78462 Konstanz, Germany                    ","Die Laterne wurde angeblich von einem Lastkraftwagen angefahren.
(Adresssuche nach: Hüetlinstr 19)",
722,3972,Beleuchtung > Straßenlaternen defekt,"47.6794793388824, 9.15640443563461",Stadtwerke Konstanz,Gelöst,25.09.2020,"Reutestraße 92A, 78467 Konstanz, Germany                    ","Auf dem Radweg entlang der Bahngleise sind,  zwischen Hämmerle und Südkurier zwei Laternen defekt.",
725,3975,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6667750726831, 9.17905066162348",Stadtverwaltung,Ungelöst Abgeschlossen,26.09.2020,"Sternenpl., 78464 Konstanz, Germany                    ",Von Altstadt in Richtung Sternenplatz auf dem Fahrradweg am Ende der Brücke. Dort ist das Blech zwischen Brücke und dem darauffolgenden Teer-Stück sehr hoch (ca. 3-4cm). Ist sehr unangenehm zu befahren.,
729,3979,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6669259482924, 9.17915247728941",Stadtverwaltung,Gelöst,27.09.2020,"Sternenpl., 78464 Konstanz, Germany                    ","Auf dem Radweg der alten Rheinbrücke wurde ein Baustellenschild angebracht, das wahrscheinlich falsch platziert wurde, da es dort keinen Sinn ergibt. Eventuell gehört es eine ""Etage"" tiefer angebracht.",
759,4009,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6684235830067, 9.1640634182549",Technische Betriebe,Gelöst,04.10.2020,"Rheingutstraße 40, 78462 Konstanz, Germany                    ",Die Drehscheibe blockiert nach ca. einer Runde. Spielgerät dadurch nicht nutzbar.,
794,4044,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6654696716042, 9.17384943772027",Technische Betriebe,Gelöst,11.10.2020,"Laube/Niederburg, Konstanz, 78462 Konstanz, Germany                    ",Der Fußweg von der Bushaltestelle „Schottenplatz“ zur Schottenstraße ist bei Regen kaum begehbar! Rießige Pfützen und matschige Stellen machen das Durchkommen schwierig.,
802,4052,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.7588741037163, 9.11341276770009",Forstamt KN,Ungelöst Abgeschlossen,13.10.2020,"Unnamed Road, 78465 Konstanz, Germany                    ","Wanderweg im Waldbereich Dettingen, zwischen Wallhausen und Langenrain
Wenn man vom St. Katharinenweg abzweigt und Richtung Burghof geht, dann liegt zwischen Abzweigung und erster Brücke (siehe Karte) ein ordentlicher Baum quer über den Weg. Vermutlich schon seit Wochen oder Monaten. Da der Hang hier relativ steil ist und bergab eine kleine Kante ist, ist das Ausweichen kaum möglich. Es wäre schön, wenn man den Weg wieder frei schneiden könnte",
820,4070,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6701106841938, 9.15800757969997",Technische Betriebe,Gelöst,18.10.2020,"Stromeyersdorfstraße 14, 78467 Konstanz, Germany                    ","Tiefes Loch oberhalb der Uferbefestigung auf der Wiese rechts neben den Garagen, das sollte vor dem Winter noch verfüllt werden - und zwar diesmal richtig",
827,4077,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6704736042054, 9.16978218712649",Technische Betriebe,Gelöst,19.10.2020,"Helene-Merk-Straße 1, 78467 Konstanz, Germany                    ","Beim Übergang zwischen Kiesweg und asphaltiertem Promenadenweg befindet sich ein kleiner Absatz. Fast täglich stürzen hier Radfahrer beim Übergang vom Kies- zum Asphaltweg, da sie schräg gegen den Absatz fahren. Es wäre super, wenn da etwas gemacht werden könnte.
Vielen Dank!",
834,4084,Beleuchtung > Straßenlaternen defekt,"47.6730114380662, 9.17641773819923",Stadtwerke Konstanz,Gelöst,21.10.2020,"Sankt-Gebhard-Straße 38, 78467 Konstanz, Germany                    ",Laterne Nr 10 (Fahradweg) ohne Funktion,
845,4095,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6734194929493, 9.19851570989496",Technische Betriebe,Gelöst,23.10.2020,"Am Tannenhof 11, 78464 Konstanz, Germany                    ","Der Radweg vom Tannenhof kommend nach dem Salesianerweg in den Lorettowald führend ist seit mehr als einem Jahr mit Löchern versehen. Manche sind mehr als knöcheltief. Das ist für Radfahrer und Fußgänger, v.a. auch im Dunkeln eine schwierige und gefährliche Passage.",
850,4100,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6938146273873, 9.19229239225388",Technische Betriebe,Gelöst,26.10.2020,"Mainaustraße 248, 78464 Konstanz, Germany                    ",Entwässerung defekt,
856,4106,Beleuchtung > Straßenlaternen defekt,"47.6768861698354, 9.18831303713614",Stadtwerke Konstanz,Gelöst,27.10.2020,"Höhenweg 14, 78464 Konstanz, Germany                    ","Lampe ist immer noch Defekt am Eingang der Sonnenhaldschule von der Straße gesehen die Linke Lampe  dort wo die Straße gerade aufgerissen wurde.
(Adresssuche nach: Höhenweg 14)",
866,4116,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6724071833569, 9.16189042416273",Stadtverwaltung,Gelöst,29.10.2020,"Reichenaustraße 43A, 78467 Konstanz, Germany                    ","Am Übergang an der Agip Tankstelle steht das Wasser und nach der Signalanforderung wird man von den Autos mit Wasser angespritzt die durch die Pfütze auf dem Übergang fahren.
Ausserdem ist auf der Seite der Agip Tankstelle (Baustelle) immer ein See durch den provisorischen Teerauftrag.",
868,4118,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6634025170402, 9.20608016667747",Technische Betriebe,Gelöst,29.10.2020,"Alpsteinweg 14, 78464 Konstanz, Germany                    ","Fußweg praktisch bei Regen nicht nutzbar, durch sehr große Pfützen, welche sich über den ganzen Weg ausbreiten - dem wäre leicht mit etwas Kies Abhilfe zu schaffen.",
892,4142,Beleuchtung > Straßenlaternen defekt,"47.6610362685002, 9.17498872606807",Stadtwerke Konstanz,Gelöst,06.11.2020,"Münzgasse 16, 78462 Konstanz, Germany                    ","Laterne defekt
(Adresssuche nach: Münzgasse)",
893,4143,Beleuchtung > Straßenlaternen defekt,"47.6610080202799, 9.17504757104163",Stadtwerke Konstanz,Gelöst,06.11.2020,"Münzgasse 23, 78462 Konstanz, Germany                    ","Laterne defekt
(Adresssuche nach: tirolergasse)",
902,4152,Beleuchtung > Straßenlaternen defekt,"47.674577833922, 9.18623219678451",Stadtwerke Konstanz,Gelöst,07.11.2020,"Grünenbergweg 4, 78464 Konstanz, Germany                    ","Im Grünenbergweg, Laterne Nr.1 ist wohl schon länger viel Wasser im Glas der Laterne. Es hat sich ein dunkler Bodensatz gebildet. Leuchten kann sie noch.",
907,4157,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6889614638329, 9.16952079585501",Stadtverwaltung,Ungelöst Abgeschlossen,08.11.2020,"Universitätsstraße, 78467 Konstanz, Germany                    ",mehrere Schrauben an der Brücke stehen raus und sind Stolperfallen.,
911,4161,Beleuchtung > Straßenlaternen defekt,"47.6703236744758, 9.18616119772196",Stadtwerke Konstanz,Gelöst,08.11.2020,"Mainaustraße 31, 78464 Konstanz, Germany                    ","Straßenbeleuchtung defekt. 
Mittlerweile sind alle Straßenbeleuchtungen auf dem Verbindungsweg defekt.",
916,4166,Beleuchtung > Straßenlaternen defekt,"47.6713694465723, 9.18194375932217",Stadtwerke Konstanz,Gelöst,09.11.2020,"Zähringerpl. 1, 78464 Konstanz, Germany                    ","Strassenlaterne ohne Funktion, gemäß Meldung 411157 bearbeitet, dennoch geht die Strassenlaterne nicht",
928,4178,Beleuchtung > Straßenlaternen defekt,"47.6809066343619, 9.20230407267809",Stadtwerke Konstanz,Gelöst,11.11.2020,"B33 142, 78464 Konstanz, Germany                    ",Etliche Leuchtstoffröhren in der Unterführung sind defekt.,
952,4202,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6691771992766, 9.17454130366924",Technische Betriebe,Gelöst,17.11.2020,"Reichenaustraße 1, 78467 Konstanz, Germany                    ",Auf der Fahrradtrasse zur Fahrradbrücke im Herosegelände kommt es am Tiefpunkt neben der Zählsäule regelmäßig bei Regen zu Überflutungen. Hier fehlt wohl eine geeignete Entwässerung.,
953,4203,Beleuchtung > Straßenlaternen defekt,"47.6717072201378, 9.15380522817825",Stadtwerke Konstanz,Gelöst,18.11.2020,"Weberinnenstraße 7, 78467 Konstanz, Germany                    ","Leuchte Ecke Weberinnenstraße / Strickerinnenstraße defekt 
(Adresssuche nach: weberinnensraße 7)",
957,4207,Beleuchtung > Straßenlaternen defekt,"47.6830372058597, 9.16617851660703",Stadtwerke Konstanz,Gelöst,18.11.2020,"Hansjakobweg 31, 78467 Konstanz, Germany                    ","Lampe 13 am Rosmarinheideweg gestört
Schaltet sich erst spät in der Nacht an ca.23:00 Uhr",
969,4219,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.698266361981, 9.14893775959416",Technische Betriebe,Gelöst,22.11.2020,"Alte Litzelstetter Str. 79, 78467 Konstanz, Germany                    ","Der Radweg ist von beiden Seiten so beschädigt, das bei Regen nur noch ein Steg übrigbleibt. Es wäre schön, wenn die tiefen Mulden aufgefüllt würden. Außerdem haben an der Stelle auch die Erntehelfer ihren Müll und kaputte Holzcontainer im Gebüsch entsorgt.
Danke und Grüße?‍♀️",
1007,4257,Beleuchtung > Straßenlaternen defekt,"47.6721713769295, 9.1641122253613",Stadtwerke Konstanz,Gelöst,02.12.2020,"Konstanz, Neue Rheinbrücke, 78467 Konstanz, Germany                    ",Die Laterne 10 ist nun schon seit einem Jahr defekt. Wenn man mit dem Fahrrad den Kreisel Parkplatz Bodensee Forum hoch fährt ist es die zwei letzte Laterne rechts,
1010,4260,Beleuchtung > Straßenlaternen defekt,"47.6832679816884, 9.17505105886673",Stadtwerke Konstanz,Gelöst,03.12.2020,"Am Pfeiferhölzle 9, 78464 Konstanz, Germany                    ","vor Haus Am Pfeiferhölzle 9 brennt seit 7 Wochen kein Licht habe es schon öfter Telefonisch gemeldet
bisher ohne Erfolg
(Adresssuche nach: Am Pfeiferhölzle 9)",
1011,4261,Beleuchtung > Straßenlaternen defekt,"47.6874519881314, 9.14520248897909",Stadtwerke Konstanz,Gelöst,04.12.2020,"Brandenburger Str. 36, 78467 Konstanz, Germany                    ","vor ca 3 Wochen repariert nach Mastaustausch, Beleuchtung war ok. Wegbeleuchtung geht seit ca. 2 Wochen nicht mehr.",
1013,4263,Beleuchtung > Straßenlaternen defekt,"47.6862357993021, 9.15853283254313",Stadtwerke Konstanz,Gelöst,04.12.2020,"Gaußweg 5, 78467 Konstanz, Germany                    ",Im Gaussweg sind inzwischen 2 Laternen defekt. Die 1. habe ich schon vor Monaten gemeldet,
1021,4271,Beleuchtung > Straßenlaternen defekt,"47.6794656357566, 9.1910742429921",Stadtwerke Konstanz,Gelöst,08.12.2020,"Sonnenbühlstraße 63, 78464 Konstanz, Germany                    ",1x Laterne defekt.,
1023,4273,Öffentliche Orte/Ufer > Seeufer verschmutzt,"47.6666427038714, 9.18348086172165",Technische Betriebe,Gelöst,08.12.2020,"Seestraße 13A, 78464 Konstanz, Germany                    ",Der Seeuferweg ist nach dem Laubfall der Bäume und den Niederschlägen der letzten Tage sehr verschlammt und an vielen Stellen mit großen Pfützen vor allem für ältere Menschen (Rollator) sehr mühsam zu begehen. Kiesaufschüttungen könnten da rasch Abhilfe schaffen.,
1029,4279,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6714574028051, 9.21333480944422",Stadtwerke Konstanz,Gelöst,09.12.2020,"Seehalde 11, 78464 Konstanz, Germany                    ","Fussweg, Seeuferweg im Bereich des Wasserwerkes schadhaft. Es haben sich sehr große Wasserlöcher im Belag gebildet. Nach Regenfällen ist der Weg kaum begehbar.",
1030,4280,Beleuchtung > Straßenlaternen defekt,"47.693798233973, 9.19065283398397",Stadtwerke Konstanz,Gelöst,10.12.2020,"Mainaustraße 211, 78464 Konstanz, Germany                    ",Beleuchtung defekt,
1032,4282,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6738401128312, 9.18230942868649",Stadtverwaltung,Ungelöst Abgeschlossen,10.12.2020,"Gottfried-Keller-Straße 4, 78467 Konstanz, Germany                    ","Fußgängerbrücke seit sehr langer Zeit in sehr schlechtem Zustand. großflächige Schäden am Bodenbelag mit Ansammlung großer Wasserpfützen, die kaum passierbar sind. Gefahrenpotential groß, da Passanten, insbesondre Schüler der Gebhardsschule den gefährlicheren Weg über die viel befahrene Straße wählen.
Problem ist eigentlich schon lange bekannt, aber es geschieht nichts. Es war auch schon mal der Abriß der Brücke wohl in Erwägung gezogen worden. Sanierung wohl aufgeschoben. Wie geht es weiter?
(Adresssuche nach: zähringerplatz Gebhardschule)",
1042,4292,Beleuchtung > Straßenlaternen defekt,"47.6828607940251, 9.15631209263993",Stadtwerke Konstanz,Gelöst,12.12.2020,"Mittelweg 21, 78467 Konstanz, Germany                    ",Laterne defekt,
1048,4298,Beleuchtung > Straßenlaternen defekt,"47.6714105418101, 9.18202748482961",Stadtwerke Konstanz,Gelöst,13.12.2020,"Zähringerpl. 1, 78464 Konstanz, Germany                    ",Am Randweg um die Wiese auf dem Sankt Gebhardsplatz sind mehrere Leuchten ohne Funktion bzw. dunkel.,
1049,4299,Beleuchtung > Straßenlaternen defekt,"47.6610204163954, 9.17323744403701",Stadtwerke Konstanz,Gelöst,13.12.2020,"Obermarkt 8, 78462 Konstanz, Germany                    ",Auf dem Obermarkt sind fast alle Kugel-Strassenleuchten ohne Funktion,
1050,4300,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6696219071207, 9.19971717388872",Stadtverwaltung,Ungelöst Abgeschlossen,13.12.2020,"Beethovenstraße 44, 78464 Konstanz, Germany                    ",die letzte Laterne auf der Fontainbleauallee in Richtung Westen ist von kleinen Bäumchen zugewachsen. während der Vegetationsperiode ist fast keine Sicht gegeben. Laterne sollte im Winter freigeschnitten werden,
1053,4303,Beleuchtung > Straßenlaternen defekt,"47.7132873535156, 9.17062727684286",Stadtwerke Konstanz,Gelöst,14.12.2020,"Kornblumenweg 22B, 78465 Konstanz, Germany                    ","Straßenlaterne Nr. 5 Dorffriedhofsweg, Litzelstetten defekt",
1057,4307,Beleuchtung > Straßenlaternen defekt,"47.6882493186855, 9.14289789776433",Stadtwerke Konstanz,Gelöst,16.12.2020,"Mannheimer Str. 67A, 78467 Konstanz, Germany                    ",Mühlenweg Laternenbeleuchtung Nr. 19 ist defekt,
1058,4308,Beleuchtung > Straßenlaternen defekt,"47.6721259345225, 9.16410188178481",Stadtwerke Konstanz,Gelöst,16.12.2020,"Konstanz, Neue Rheinbrücke, 78467 Konstanz, Germany                    ","Auf dem Abfahrtsohr (Fahrrad) am Brückenkopf Nord ist eine Laterne schon wieder defekt. Leuchte Nr. 10
Letzten Januar gemeldet, Mai repariert und nun schon wieder länger kaputt. Vielleicht ist da eher ein grundsätzliches Problem mit dieser Lampe Nr. 10!",
1065,4315,Beleuchtung > Straßenlaternen defekt,"47.6886240079616, 9.15401116752037",Stadtwerke Konstanz,Gelöst,19.12.2020,"Schwaketenstraße 52, 78467 Konstanz, Germany                    ",Oberlinweg zwischen Stifterstr. und Schwaketenstr. Laterne seit Monaten ohne Funktion.,
1070,4320,Beleuchtung > Straßenlaternen defekt,"47.6559626815866, 9.17093073885404",Stadtwerke Konstanz,Gelöst,22.12.2020,"Schwedenschanze 7A, 78462 Konstanz, Germany                    ",Die Straßenlaterne gegenüber dem Engang zur Schwedenschanze 5 ist kaputt.,
1075,4325,Beleuchtung > Straßenlaternen defekt,"47.6833190917969, 9.14798303660753",Stadtwerke Konstanz,Gelöst,22.12.2020,"Magdeburger Str. 8, 78467 Konstanz, Germany                    ",Fahrradwege von der riedstraße zur magdeburgerstraße alle lampen kaputt,
1076,4326,Beleuchtung > Straßenlaternen defekt,"47.6824951171875, 9.14966516708229",Stadtwerke Konstanz,Gelöst,22.12.2020,"Leipziger Str. 8, 78467 Konstanz, Germany                    ",alle lanpen defekt,
1078,4328,Beleuchtung > Straßenlaternen defekt,"47.6667316119342, 9.18398205213698",Stadtwerke Konstanz,Gelöst,22.12.2020,"Seestraße 13A, 78464 Konstanz, Germany                    ",2-3 Laternen defekt - immer noch... obwohl die Meldung behoben einging...,
1079,4329,Beleuchtung > Straßenlaternen defekt,"47.6684533519645, 9.18018737055182",Stadtwerke Konstanz,Gelöst,22.12.2020,"Theodor-Heuss-Straße 1, 78467 Konstanz, Germany                    ",3 aufeinander folgende Laternen defekt. Meldung erfolgte bereits vor Wochen. Nun werden die Tage ja wieder länger... ?,
1081,4331,Beleuchtung > Straßenlaternen defekt,"47.6559928655257, 9.17073631375153",Stadtwerke Konstanz,Gelöst,25.12.2020,"Schwedenschanze 5, 78462 Konstanz, Germany                    ","die Strassenlaterne Nummer 4 ( Schwedenschanze , gegenüber Haus Nummer 5) ist defekt . 
herzlichen Gruss , 
[...]
(Adresssuche nach: Schwedenschanze 5)",
1082,4332,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6617612568504, 9.16287630890738",Gäng,Gelöst,25.12.2020,"Alten Graben 19, 78462 Konstanz, Germany                    ","Die Beschilderung (inkl. der Vorankündigung) als Sackgasse ist als ""vollwertige Sackgasse"" ausgeführt, obwohl sie für Fußgänger und Radfahrer passierbar ist. Schön wäre, hier eine entsprechende Bildschilderung anzubringen.
(Die Frage, bei wie vielen anderen Sackgassen das gleiche Problem auftritt, kann ich leider nicht beantworten und wäre sicher gut zentral zu prüfen.)",
1084,4334,Beleuchtung > Straßenlaternen defekt,"47.6729595586475, 9.17647493090366",Stadtwerke Konstanz,Gelöst,26.12.2020,"Sankt-Gebhard-Straße 38, 78467 Konstanz, Germany                    ",Laterne Nr. 10 blinkt,
1085,4335,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6755602911165, 9.19805370429532",Stadtverwaltung,Gelöst,26.12.2020,"Sonnenbühlstraße 98, 78464 Konstanz, Germany                    ","Unklare Beschilderung des Rad- / Fußweges. An der Sonnenbühlstraße beginnt ein Gemeinschaftsweg für Fußgänger und Radfahrer, der nach wenigen Metern in einen Weg mit getrennten Bereichen für Fußgänger und Radfahrer mündet. Hier ist nicht erkennbar, welcher Bereich für Fußgänger und welcher für Fahrradfahrer vorgesehen ist. Das dazu gehörige Schild ist nicht sichtbar. Entweder sollte das Verkehrsschild ein paar Meter nach hinten versetzt werden oder auf der Fahrbahn sollten entsprechende Piktogramme aufgemalt werden.",
1092,4342,Beleuchtung > Straßenlaternen defekt,"47.6782996654692, 9.20310390012761",Stadtwerke Konstanz,Gelöst,02.01.2021,"Oberstegle 9A, 78464 Konstanz, Germany                    ",Beleuchtung am Fußweg zwischen Oberstegle und Jakobstrasse ist defekt.,
1101,4351,Beleuchtung > Straßenlaternen defekt,"47.6745144172152, 9.19964300678235",Stadtwerke Konstanz,Gelöst,03.01.2021,"Hermann-von-Vicari-Straße 9, 78464 Konstanz, Germany                    ",Laterne Nr. 3 brennt nur mit halber Kraft,
1102,4352,Beleuchtung > Straßenlaternen defekt,"47.6741115835172, 9.20116750972768",Stadtwerke Konstanz,Gelöst,03.01.2021,"Christoph-Daniel-Schenck-Straße 16, 78464 Konstanz, Germany                    ",Beleuchtung brennt nicht,
1112,4362,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6834824273195, 9.15737394542596",Stadtverwaltung,Gelöst,07.01.2021,"Fürstenbergstraße 101, 78467 Konstanz, Germany                    ",Fahrrad (schwarz mit Aufschrift Continental in gelb/gold) steht seit über einem Jahr unbewegt dort neben den Baum angekettet. Zustand ist sehr schlecht/nicht fahrbereit,
1115,4365,Beleuchtung > Straßenlaternen defekt,"47.6743124122141, 9.17214542583679",Stadtwerke Konstanz,Gelöst,08.01.2021,"Bruder-Klaus-Straße 18, 78467 Konstanz, Germany                    ",Laterne bei Hauseigentümer Nr 16c defekt,
1116,4366,Beleuchtung > Straßenlaternen defekt,"47.6733852665017, 9.17521079134882",Stadtwerke Konstanz,Gelöst,08.01.2021,"Bahnhof, 78467 Konstanz, Germany                    ",Laternen Höhe der Treppe der Brücke defekt,
1118,4368,Beleuchtung > Straßenlaternen defekt,"47.6802020399007, 9.19857270860427",Stadtwerke Konstanz,Gelöst,10.01.2021,"Bettengasse 16, 78464 Konstanz, Germany                    ","Der Straßenlaternenpfahl vor dem Haus Bettengasse 16 A  ist schon seit mehr als einem Jahr lang geknickt und mit Tape umwickelt.
(Adresssuche nach: Bettengasse 18 Hinterhaus)",
1125,4375,Beleuchtung > Straßenlaternen defekt,"47.6717156052371, 9.16302529690383",Stadtwerke Konstanz,Gelöst,11.01.2021,"Reichenaustraße 37, 78467 Konstanz, Germany                    ",Die Lampe Nr. 4 auf der Treppe der Schänzlebrücke - Nord neben dem Wasserwirtschaftsamt ist die Lampe defekt. Mindestens schon seit 2 Monaten!!,
1126,4376,Beleuchtung > Straßenlaternen defekt,"47.6735069981072, 9.17501116985327",Stadtwerke Konstanz,Gelöst,11.01.2021,"Bahnhof, 78467 Konstanz, Germany                    ",Leuchte Nr 14 (nummierung fehlt) unterhalb der Rampe der Z-Brücke ist dunkel,
1131,4381,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6602685631814, 9.1642140224576",Technische Betriebe,Gelöst,14.01.2021,"Zum Hussenstein 12, 78462 Konstanz, Germany                    ",Umgestürzter Baum auf Fußweg,
1132,4382,Beleuchtung > Straßenlaternen defekt,"47.6728788490974, 9.17297446157023",Stadtwerke Konstanz,Gelöst,14.01.2021,"Markgrafenstraße 46, 78467 Konstanz, Germany                    ",Straßenlaterne Nr. 9 ist defekt gegenüber Bruder Klaus Straße 15 ist defekt,
